Date	Time	---	cm/s
980809	11:28	862	177.96
980809	11:38	862	185.78
980809	11:48	862	165.25
980809	11:58	862	176
980809	12:08	862	159.87
980809	12:18	862	157.43
980809	12:28	862	173.56
980809	12:38	862	164.76
980809	12:48	862	181.87
980809	12:58	862	193.12
980809	13:08	862	32.76
980809	13:18	862	5.87
980809	13:28	862	12.71
980809	13:38	862	14.18
980809	13:48	862	4.89
980809	13:58	862	7.82
980809	14:08	862	10.27
980809	14:18	862	4.4
980809	14:28	862	8.31
980809	14:38	862	8.8
980809	14:48	862	8.31
980809	14:58	862	8.8
980809	15:08	862	8.8
980809	15:18	862	7.33
980809	15:28	862	5.38
980809	15:38	862	6.84
980809	15:48	862	11.73
980809	15:58	862	5.87
980809	16:08	862	7.82
980809	16:18	862	6.84
980809	16:28	862	9.78
980809	16:38	862	5.87
980809	16:48	862	7.33
980809	16:58	862	7.33
980809	17:08	862	6.84
980809	17:18	862	5.87
980809	17:28	862	4.89
980809	17:38	862	4.4
980809	17:48	862	4.4
980809	17:58	862	0.49
980809	18:08	862	0.49
980809	18:18	862	2.93
980809	18:28	862	5.87
980809	18:38	862	6.36
980809	18:48	862	6.36
980809	18:58	862	4.4
980809	19:08	862	1.47
980809	19:18	862	5.87
980809	19:28	862	2.93
980809	19:38	862	4.4
980809	19:48	862	7.82
980809	19:58	862	6.84
980809	20:08	862	7.33
980809	20:18	862	3.42
980809	20:28	862	11.73
980809	20:38	862	164.27
980809	20:48	862	213.65
980809	20:58	862	164.27
980809	21:08	862	196.05
980809	21:18	862	176.49
980809	21:28	862	185.78
980809	21:38	862	159.87
980809	21:48	862	185.29
980809	21:58	862	166.23
980809	22:08	862	180.4
980809	22:18	862	167.69
980809	22:28	862	188.23
980809	22:38	862	157.91
980809	22:48	862	169.16
980809	22:58	862	167.69
980809	23:08	862	153.03
980809	23:18	862	200.45
980809	23:28	862	183.83
980809	23:38	862	182.36
980809	23:48	862	162.31
980810	0:08	862	163.78
980810	0:18	862	173.56
980810	0:28	862	164.76
980810	0:38	862	176.49
980810	0:48	862	188.72
980810	0:58	862	181.38
980810	1:08	862	195.07
980810	1:18	862	183.34
980810	1:28	862	190.67
980810	1:38	862	183.34
980810	1:48	862	182.85
980810	1:58	862	83.6
980810	2:08	862	4.89
980810	2:18	862	10.27
980810	2:28	862	19.56
980810	2:38	862	12.71
980810	2:48	862	6.36
980810	2:58	862	0.98
980810	3:08	862	3.91
980810	3:18	862	5.87
980810	3:28	862	9.29
980810	3:38	862	11.73
980810	3:48	862	7.33
980810	3:58	862	7.33
980810	4:08	862	7.33
980810	4:18	862	5.87
980810	4:28	862	8.31
980810	4:38	862	10.76
980810	4:48	862	8.8
980810	4:58	862	7.33
980810	5:08	862	7.82
980810	5:18	862	9.29
980810	5:28	862	7.33
980810	5:38	862	6.84
980810	5:48	862	6.84
980810	5:58	862	6.84
980810	6:08	862	6.84
980810	6:18	862	2.93
980810	6:28	862	2.93
980810	6:38	862	1.96
980810	6:48	862	0
980810	6:58	862	1.47
980810	7:08	862	1.47
980810	7:18	862	0.98
980810	7:28	862	3.91
980810	7:38	862	2.93
980810	7:48	862	4.89
980810	7:58	862	2.93
980810	8:08	862	4.89
980810	8:18	862	5.38
980810	8:28	862	2.44
980810	8:38	862	4.89
980810	8:48	862	4.89
980810	8:58	862	148.14
980810	9:08	862	187.25
980810	9:18	862	176.49
980810	9:28	862	132
980810	9:38	862	110.49
980810	9:48	862	137.38
980810	9:58	862	121.74
980810	10:08	862	72.85
980810	10:18	862	90.45
980810	10:28	862	111.47
980810	10:38	862	145.69
980810	10:48	862	142.76
980810	10:58	862	92.4
980810	11:08	862	177.96
980810	11:18	862	125.65
980810	11:28	862	121.25
980810	11:38	862	101.69
980810	11:48	862	100.22
980810	11:58	862	159.87
980810	12:08	862	183.34
980810	12:18	862	180.89
980810	12:28	862	200.94
980810	12:38	862	189.69
980810	12:48	862	175.52
980810	12:58	862	166.71
980810	13:08	862	102.67
980810	13:18	862	99.25
980810	13:28	862	151.07
980810	13:38	862	146.67
980810	13:48	862	161.83
980810	13:58	862	8.31
980810	14:08	862	5.87
980810	14:18	862	8.31
980810	14:28	862	7.82
980810	14:38	862	4.4
980810	14:48	862	2.44
980810	14:58	862	3.42
980810	15:08	862	1.96
980810	15:18	862	2.93
980810	15:28	862	3.42
980810	15:38	862	5.38
980810	15:48	862	4.89
980810	15:58	862	0.98
980810	16:08	862	4.89
980810	16:18	862	4.89
980810	16:28	862	3.42
980810	16:38	862	2.44
980810	16:48	862	3.91
980810	16:58	862	3.91
